SignType,Message,FullMessage
IA.1,3D DIALYSIS,3D DIALYSIS
IA.1,ACCOUNTING,ACCOUNTING
IA.1,ACUTE DIALYSIS,ACUTE DIALYSIS
IA.1,ADMIN,ADMINISTRATION
IA.1,ADMIN CORRIDOR,ADMINISTRATION CORRIDOR
IA.1,ADMINISTRATION,ADMINISTRATION
IA.1,ADMINISTRATIVE DIRECTOR OF PERIOPERATIVE AND CARDIOVASCULAR SERVICES,ADMINISTRATIVE DIRECTOR OF PERIOPERATIVE AND CARDIOVASCULAR SERVICES
IA.1,ADMIT OFFICE,ADMITTING OFFICE
IA.1,ADMITTING,ADMITTING
IA.1,ADMITTING 1,ADMITTING 1
IA.1,ADMITTING 2,ADMITTING 2
IA.1,ADMITTING 3,ADMITTING 3
IA.1,ADMITTING WORK ROOM,ADMITTING WORK ROOM
IA.1,ANES WORK ROOM,ANESTHESIA WORK ROOM
IA.1,ANESTHESIA WORK ROOM,ANESTHESIA WORK ROOM
IA.1,ANESTHESIOLOGISTS,ANESTHESIOLOGISTS
IA.1,ANTE,ANTE ROOM
IA.1,ANTE ROOM,ANTE ROOM
IA.1,APHERESIS INFUSION 1,APHERESIS INFUSION 1
IA.1,APHERESIS INFUSION 10,APHERESIS INFUSION 10
IA.1,APHERESIS INFUSION 11,APHERESIS INFUSION 11
IA.1,APHERESIS INFUSION 12,APHERESIS INFUSION 12
IA.1,APHERESIS INFUSION 2,APHERESIS INFUSION 2
IA.1,APHERESIS INFUSION 3,APHERESIS INFUSION 3
IA.1,APHERESIS INFUSION 4,APHERESIS INFUSION 4
IA.1,APHERESIS INFUSION 5,APHERESIS INFUSION 5
IA.1,APHERESIS INFUSION 6,APHERESIS INFUSION 6
IA.1,APHERESIS INFUSION 7,APHERESIS INFUSION 7
IA.1,APHERESIS INFUSION 8,APHERESIS INFUSION 8
IA.1,APHERESIS INFUSION 9,APHERESIS INFUSION 9
IA.1,APHERESIS TREATMENT,APHERESIS TREATMENT
IA.1,APO,APO
IA.1,ASSISTANT CHIEF NURSING OFFICER,ASSISTANT CHIEF NURSING OFFICER
IA.1,"ASSISTANT CHIEF NURSING OFFICER, ASSISTANT CHIEF OPERATING OFFICER, VP OF NURSING INITIATIVES & REGULATORY COMPLIANCE","ASSISTANT CHIEF NURSING OFFICER, ASSISTANT CHIEF OPERATING OFFICER, VP OF NURSING INITIATIVES & REGULATORY COMPLIANCE"
IA.1,ASSISTANT CHIEF OPERATING OFFICER,ASSISTANT CHIEF OPERATING OFFICER
IA.1,AUDITORIUM,AUDITORIUM
IA.1,AUTHORIZED PERSONNEL ONLY,AUTHORIZED PERSONNEL ONLY
IA.1,BIO MED,BIO MED
IA.1,BIRTH REGISTRY,BIRTH REGISTRY
IA.1,BLOOD GAS,BLOOD GAS
IA.1,BLOOD GAS LAB,BLOOD GAS LAB
IA.1,BOARD ROOM,BOARD ROOM
IA.1,BODY HOLD,BODY HOLD
IA.1,BOILER / WATER SERVICES,BOILER / WATER SERVICES
IA.1,BREAK,BREAK ROOM
IA.1,BREAK RM,BREAK ROOM
IA.1,BREAK ROOM,BREAK ROOM
IA.1,BREAKDOWN,BREAKDOWN
IA.1,BREASTFEEDING ROOM,BREASTFEEDING ROOM
IA.1,CARDIAC REHAB,CARDIAC REHAB
IA.1,CARDIOPULMONARY SERVICES,CARDIOPULMONARY SERVICES
IA.1,CARDIOPULONARY REHAB,CARDIOPULONARY REHAB
IA.1,CASE MANAGEMENT,CASE MANAGEMENT
IA.1,CASE MGMT,CASE MANAGEMENT
IA.1,CASH,CASH
IA.1,CAT SCAN,CAT SCAN
IA.1,CAT SCAN 1,CAT SCAN 1
IA.1,CAT SCAN 2,CAT SCAN 2
IA.1,CAT SCAN AUTHORIZED PERSONNEL ONLY,CAT SCAN AUTHORIZED PERSONNEL ONLY
IA.1,CAT SCAN CONTROL,CAT SCAN CONTROL
IA.1,CAT SCAN HOLDING,CAT SCAN HOLDING
IA.1,CATH EQ,CATH EQ
IA.1,CATH LAB,CATH LAB
IA.1,CATH LAB 1,CATH LAB
IA.1,CATH LAB 2,CATH LAB 2
IA.1,CATH LAB 3 & 4 CONTROL ROOM,CATH LAB 3 & 4 CONTROL ROOM
IA.1,CATH LAB 5 CONTROL ROOM,CATH LABORATORY 5 CONTROL ROOM
IA.1,CATH LAB DICATION,CATH LAB DICATION
IA.1,CATH LAB PHYSICIAN LOUNGE,CATH LAB PHYSICIAN LOUNGE
IA.1,CATH LAB SHARED SERVICES 1,CATH LAB SHARED SERVICES 1
IA.1,CCU CRITICAL CARE UNIT,CCU CRITICAL CARE UNIT
IA.1,CCU WAITING,CCU WAITING
IA.1,CELLULAR THERAPY LAB,CELLULAR THERAPY LABORATORY
IA.1,CENTRAL PLANT,CENTRAL PLANT
IA.1,CENTRAL STERILE OFFICE,CENTRAL STERILE OFFICE
IA.1,CENTRAL STERILE PROCESSING DEPARTMENT,CENTRAL STERILE PROCESSING DEPARTMENT
IA.1,CENTRAL STERILE PROCESSING MANAGER,CENTRAL STERILE PROCESSING MANAGER
IA.1,CEO OFFICE,CEO OFFICE
IA.1,CFO OFFICE,CFO OFFICE
IA.1,CHAPEL,CHAPEL
IA.1,CHAPEL OFFICE,CHAPEL OFFICE
